id	address	name	kind	confidence	source	target
function:40800074:early-rom-startup	40800074	Early ROM startup / supervisor setup	function	medium	agent_note	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803FD6:408041CA	40803FD6	string_cluster 40803FD6	data_region	0.7	stackimport	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803FE0	40803FE0	Pointer table 40803FE0	pointer_table		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804080	40804080	Pointer table 40804080	pointer_table		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804130	40804130	Pointer table 40804130	pointer_table		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408041D0	408041D0	Pointer table 408041D0	pointer_table		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408044F0	408044F0	Pointer table 408044F0	pointer_table		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408048C0	408048C0	Pointer table 408048C0	pointer_table		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804970	40804970	Pointer table 40804970	pointer_table		rom_structure_analysis	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40804A66:40804ACA	40804A66	string_cluster 40804A66	data_region	0.7	stackimport	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804D80	40804D80	Pointer table 40804D80	pointer_table		rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804F66:40804FCA	40804F66	string_cluster 40804F66	data_region	0.7	stackimport	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804F90	40804F90	Pointer table 40804F90	pointer_table		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804FD0	40804FD0	Pointer table 40804FD0	pointer_table		rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408050F6:408051AA	408050F6	string_cluster 408050F6	data_region	0.7	stackimport	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40805100	40805100	Pointer table 40805100	pointer_table		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408051B0	408051B0	Pointer table 408051B0	pointer_table		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40805300	40805300	Pointer table 40805300	pointer_table		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408053C0	408053C0	Pointer table 408053C0	pointer_table		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408053F0	408053F0	Pointer table 408053F0	pointer_table		rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408059AA:40805F70	408059AA	string_cluster 408059AA	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40805AEC:40805B74	40805AEC	string_cluster 40805AEC	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40806074:408063DE	40806074	string_cluster 40806074	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080611A:40806FCC	4080611A	string_cluster 4080611A	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40806804:4080685A	40806804	string_cluster 40806804	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40806964:40806D00	40806964	string_cluster 40806964	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40806E68:408074A2	40806E68	string_cluster 40806E68	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080713B:408074C2	4080713B	string_cluster 4080713B	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408075B2:40807BE2	408075B2	string_cluster 408075B2	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40807758:40807802	40807758	string_cluster 40807758	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40807960:4080833A	40807960	string_cluster 40807960	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40807F65:4080806F	40807F65	string_cluster 40807F65	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40808170:408082E5	40808170	string_cluster 40808170	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080844A:408089DB	4080844A	string_cluster 4080844A	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080861E:408088D8	4080861E	string_cluster 4080861E	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40808AE4:40808FAF	40808AE4	string_cluster 40808AE4	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408090F0:40809630	408090F0	string_cluster 408090F0	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080978E:40809B1C	4080978E	string_cluster 4080978E	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40809F42:40809F94	40809F42	string_cluster 40809F42	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080A107:4080A65D	4080A107	string_cluster 4080A107	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080A3A4:4080A5D4	4080A3A4	string_cluster 4080A3A4	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080A6E1:4080A810	4080A6E1	string_cluster 4080A6E1	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080AA28:4080B338	4080AA28	string_cluster 4080AA28	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080B490:4080B764	4080B490	string_cluster 4080B490	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080B98C:4080C095	4080B98C	string_cluster 4080B98C	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080C1EA:4080C3D7	4080C1EA	string_cluster 4080C1EA	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080C506:4080C7F5	4080C506	string_cluster 4080C506	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080C9D4:4080DD7E	4080C9D4	string_cluster 4080C9D4	data_region	0.7	stackimport	
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080CE64:DRVR	4080CE64	DRVR marker 4080CE64	resource_marker		rom_structure_analysis	
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080CF78:DRVR	4080CF78	DRVR marker 4080CF78	resource_marker		rom_structure_analysis	
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080D52A:boot	4080D52A	boot marker 4080D52A	resource_marker		rom_structure_analysis	
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080D7A4	4080D7A4	fn4080D7A4	function_candidate		rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080E0EB:4080E3C7	4080E0EB	string_cluster 4080E0EB	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080E4EA:4080EF40	4080E4EA	string_cluster 4080E4EA	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080E6F9:4080EAA8	4080E6F9	string_cluster 4080E6F9	data_region	0.7	stackimport	
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080F130	4080F130	fn4080F130	function_candidate		rom_structure_analysis	
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080F130	4080F130	fn4080F130	function_candidate	0.95	rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080F188:4080F33C	4080F188	string_cluster 4080F188	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080F459:4080F9C8	4080F459	string_cluster 4080F459	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080F463:4080F4D8	4080F463	string_cluster 4080F463	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080F5E4:40810588	4080F5E4	string_cluster 4080F5E4	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080FC38:4080FE36	4080FC38	string_cluster 4080FC38	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080FF8A:40810029	4080FF8A	string_cluster 4080FF8A	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40810174:408102CA	40810174	string_cluster 40810174	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408107AA:40810CED	408107AA	string_cluster 408107AA	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40810E2C:40811687	40810E2C	string_cluster 40810E2C	data_region	0.7	stackimport	
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40811396	40811396	fn40811396	function_candidate	0.95	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40811915:4081299A	40811915	string_cluster 40811915	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408125B4:408125DD	408125B4	string_cluster 408125B4	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408126E9:40812840	408126E9	string_cluster 408126E9	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081294D:40812A88	4081294D	string_cluster 4081294D	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40812AC5:408133DE	40812AC5	string_cluster 40812AC5	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40812CDC:408135F0	40812CDC	string_cluster 40812CDC	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40813606:40813B10	40813606	string_cluster 40813606	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408136F8:40814074	408136F8	string_cluster 408136F8	data_region	0.7	stackimport	
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40813EFC	40813EFC	fn40813EFC	function_candidate		rom_structure_analysis	
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40813EFC	40813EFC	fn40813EFC	function_candidate		rom_structure_analysis	
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40814030	40814030	label40814030	function_candidate	0.95	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081429C:408149D8	4081429C	string_cluster 4081429C	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40814B02:408168F5	40814B02	string_cluster 40814B02	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408152B9:408153B0	408152B9	string_cluster 408152B9	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40815557:40815869	40815557	string_cluster 40815557	data_region	0.7	stackimport	
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40815790:boot	40815790	boot marker 40815790	resource_marker		rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40815984:40816F51	40815984	string_cluster 40815984	data_region	0.7	stackimport	
