id	name	base_address	path	size	crc32	sha256	family	imported_at
rom:1994-05----6909089----ower-ook-520-520c-:66CF9F2F:2097152	1994-05 - B6909089 - PowerBook 520 520c 540 540c.ROM	00000000	data/roms/old-world/2mb/1994-05 - B6909089 - PowerBook 520 520c 540 540c.ROM	2097152	66CF9F2F	CEB987EBDF2AE692069990E349FFF1F3A10B00F6AC9BED59E94DD82BE0812E53		2026-05-25T15:03:03.215Z
rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	1994-09 - 5BF10FD1 - Quadra 660av & 840av.ROM	00000000	data/roms/old-world/2mb/1994-09 - 5BF10FD1 - Quadra 660av & 840av.ROM	2097152	6973886C	1B94F0654A540392D4BF5EDBAD7638CC23DFB27708D4BEDBAE16FF34B6354D46		2026-05-25T15:02:53.638Z
rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152	1995-08 - 4D27039C - Powerbook 190 & 190cs.ROM	00000000	data/roms/old-world/2mb/1995-08 - 4D27039C - Powerbook 190 & 190cs.ROM	2097152	9C71C823	79B03FD6B16A4E1066C950F8A627D162E9D58B56D2FDD5A1DBC6B7DE1AE47593		2026-05-25T15:03:11.229Z
rom:-uadra-900-rom:-7715DF7F:1048576	Quadra-900.rom	00000000	data/roms/basiliskii/Quadra-900.rom	1048576	88EA2081	C2093476E9C9A7D76973910A91FBFBA23CA71163B84EB2623ADF8608A6B03ED2		2026-05-25T15:05:24.414Z
