id	address	kind	resource_type	resource_id	name	media_type	output_file	confidence	source
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40936C12:PACK	40936C12	resource_marker	PACK		PACK marker 40936C12				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4093C9C0:PACK	4093C9C0	resource_marker	PACK		PACK marker 4093C9C0				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4093C9E2:PACK	4093C9E2	resource_marker	PACK		PACK marker 4093C9E2				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4093D82E:STR	4093D82E	resource_marker	STR		STR  marker 4093D82E				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4093F248:STR#	4093F248	resource_marker	STR#		STR# marker 4093F248				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4093F570:PACK	4093F570	resource_marker	PACK		PACK marker 4093F570				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4093F5D2:PACK	4093F5D2	resource_marker	PACK		PACK marker 4093F5D2				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40944838:STR#	40944838	resource_marker	STR#		STR# marker 40944838				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40944ADA:DITL	40944ADA	resource_marker	DITL		DITL marker 40944ADA				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40946660:PACK	40946660	resource_marker	PACK		PACK marker 40946660				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40947345:PACK	40947345	resource_marker	PACK		PACK marker 40947345				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40948F5E:STR#	40948F5E	resource_marker	STR#		STR# marker 40948F5E				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4094A7E0:PACK	4094A7E0	resource_marker	PACK		PACK marker 4094A7E0				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40954588:STR#	40954588	resource_marker	STR#		STR# marker 40954588				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40955202:PACK	40955202	resource_marker	PACK		PACK marker 40955202				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40958044:STR	40958044	resource_marker	STR		STR  marker 40958044				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40958AD8:STR#	40958AD8	resource_marker	STR#		STR# marker 40958AD8				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40958B70:PACK	40958B70	resource_marker	PACK		PACK marker 40958B70				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40959248:STR#	40959248	resource_marker	STR#		STR# marker 40959248				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40959382:PACK	40959382	resource_marker	PACK		PACK marker 40959382				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4095A006:STR	4095A006	resource_marker	STR		STR  marker 4095A006				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4095A036:STR#	4095A036	resource_marker	STR#		STR# marker 4095A036				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4095D738:STR#	4095D738	resource_marker	STR#		STR# marker 4095D738				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4095D9A0:PACK	4095D9A0	resource_marker	PACK		PACK marker 4095D9A0				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4095DAB2:PACK	4095DAB2	resource_marker	PACK		PACK marker 4095DAB2				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40960C90:PACK	40960C90	resource_marker	PACK		PACK marker 40960C90				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4096425A:PACK	4096425A	resource_marker	PACK		PACK marker 4096425A				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40964260:PACK	40964260	resource_marker	PACK		PACK marker 40964260				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40964266:PACK	40964266	resource_marker	PACK		PACK marker 40964266				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4096426C:PACK	4096426C	resource_marker	PACK		PACK marker 4096426C				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40964272:PACK	40964272	resource_marker	PACK		PACK marker 40964272				rom_structure_analysis
